#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"13582521492";"12/07/2024 / 09:00:42";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.437,00";"-";"-";"-"
"13582468853";"11/07/2024 / 11:40:39";"WDOQ24";"V";"1";"5.450,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582468848";"11/07/2024 / 11:40:39";"WDOQ24";"C";"1";"5.439,50";"executada";"saída";"1";"5.439,50";"6,00";"0,11";"60,00"
"13582468744";"11/07/2024 / 11:40:34";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.445,50";"-";"-";"-"
"13582439990";"11/07/2024 / 10:24:52";"WDOQ24";"V";"4";"5.420,50";"executada";"entrada";"4";"5.420,50";"-";"-";"-"
"13582438685";"11/07/2024 / 10:21:02";"WDOQ24";"V";"2";"5.415,50";"executada";"entrada";"2";"5.415,50";"-";"-";"-"
"13582437804";"11/07/2024 / 10:19:39";"WDOQ24";"V";"1";"5.410,50";"executada";"entrada";"1";"5.410,50";"-";"-";"-"
"13582437798";"11/07/2024 / 10:19:39";"WDOQ24";"C";"8";"5.410,50";"executada";"saída";"8";"5.410,50";"5,63";"0,10";"450,00"
"13582437779";"11/07/2024 / 10:19:38";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.405,50";"-";"-";"-"
"13582409257";"11/07/2024 / 09:30:14";"WDOQ24";"C";"4";"5.406,50";"executada";"entrada";"4";"5.393,50";"-";"-";"-"
"13582407782";"11/07/2024 / 09:30:03";"WDOQ24";"C";"2";"5.411,50";"executada";"entrada";"2";"5.402,75";"-";"-";"-"
"13582405752";"11/07/2024 / 09:27:32";"WDOQ24";"C";"1";"5.416,50";"executada";"entrada";"1";"5.416,50";"-";"-";"-"
"13582405747";"11/07/2024 / 09:27:32";"WDOQ24";"V";"8";"5.408,00";"executada";"saída";"8";"5.408,00";"5,81";"0,11";"465,00"
"13582405738";"11/07/2024 / 09:27:32";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.421,50";"-";"-";"-"
"13582396895";"11/07/2024 / 09:01:22";"WDOQ24";"C";"2";"5.410,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582394477";"11/07/2024 / 09:00:58";"WDOQ24";"C";"1";"5.415,50";"executada";"entrada";"1";"5.415,50";"-";"-";"-"
"13582394447";"11/07/2024 / 09:00:58";"WDOQ24";"V";"2";"5.424,00";"executada";"saída";"2";"5.424,00";"6,00";"0,11";"120,00"
"13582394045";"11/07/2024 / 09:00:56";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.420,50";"-";"-";"-"
"13582370193";"10/07/2024 / 13:45:06";"WDOQ24";"C";"2";"0,00";"executada";"saída";"2";"5.417,50";"-1,50";"-0,03";"-30,00"
"13582367709";"10/07/2024 / 13:29:15";"WDOQ24";"V";"2";"5.423,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582359497";"10/07/2024 / 12:27:30";"WDOQ24";"V";"1";"5.418,50";"executada";"entrada";"1";"5.418,50";"-";"-";"-"
"13582359495";"10/07/2024 / 12:27:30";"WDOQ24";"C";"2";"5.410,00";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13582359489";"10/07/2024 / 12:27:29";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.413,50";"-";"-";"-"
"13582348590";"10/07/2024 / 11:28:23";"WDOQ24";"V";"1";"5.416,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582348588";"10/07/2024 / 11:28:23";"WDOQ24";"C";"1";"5.405,00";"executada";"saída";"1";"5.405,00";"6,00";"0,11";"60,00"
"13582348574";"10/07/2024 / 11:28:23";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.411,00";"-";"-";"-"
"13582343804";"10/07/2024 / 11:07:39";"WDOQ24";"V";"4";"5.421,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582339787";"10/07/2024 / 10:53:49";"WDOQ24";"V";"2";"5.416,50";"executada";"entrada";"2";"5.416,50";"-";"-";"-"
"13582335370";"10/07/2024 / 10:39:52";"WDOQ24";"V";"1";"5.411,50";"executada";"entrada";"1";"5.411,50";"-";"-";"-"
"13582335367";"10/07/2024 / 10:39:52";"WDOQ24";"C";"4";"5.407,00";"executada";"saída";"4";"5.407,00";"5,75";"0,11";"230,00"
"13582335347";"10/07/2024 / 10:39:52";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.406,50";"-";"-";"-"
"13582335094";"10/07/2024 / 10:39:32";"WDOQ24";"V";"8";"0,00";"executada";"saída";"8";"5.405,38";"-8,00";"-0,15";"-640,00"
"13582301769";"10/07/2024 / 09:03:45";"WDOQ24";"C";"4";"5.409,00";"executada";"entrada";"4";"5.409,00";"-";"-";"-"
"13582301204";"10/07/2024 / 09:03:16";"WDOQ24";"C";"2";"5.414,00";"executada";"entrada";"2";"5.414,00";"-";"-";"-"
"13582299072";"10/07/2024 / 09:01:54";"WDOQ24";"C";"1";"5.419,00";"executada";"entrada";"1";"5.419,00";"-";"-";"-"
"13582299065";"10/07/2024 / 09:01:54";"WDOQ24";"V";"8";"5.419,00";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13582298932";"10/07/2024 / 09:01:54";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.424,00";"-";"-";"-"
"13582295500";"10/07/2024 / 09:00:54";"WDOQ24";"C";"1";"5.414,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582295482";"10/07/2024 / 09:00:53";"WDOQ24";"V";"1";"5.425,50";"executada";"saída";"1";"5.425,50";"6,00";"0,11";"60,00"
"13582295001";"10/07/2024 / 09:00:51";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.419,50";"-";"-";"-"
"13582266770";"09/07/2024 / 12:47:16";"WDOQ24";"C";"2";"0,00";"executada";"saída";"2";"5.452,50";"5,50";"0,10";"110,00"
"13582262236";"09/07/2024 / 12:15:51";"WDOQ24";"V";"2";"5.465,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582258822";"09/07/2024 / 11:57:55";"WDOQ24";"V";"1";"5.460,50";"executada";"entrada";"1";"5.460,50";"-";"-";"-"
"13582258821";"09/07/2024 / 11:57:55";"WDOQ24";"C";"2";"5.452,00";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13582258809";"09/07/2024 / 11:57:55";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.455,50";"-";"-";"-"
"13582257031";"09/07/2024 / 11:49:28";"WDOQ24";"C";"1";"5.444,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582257029";"09/07/2024 / 11:49:28";"WDOQ24";"V";"1";"5.455,00";"executada";"saída";"1";"5.455,00";"6,00";"0,11";"60,00"
"13582257011";"09/07/2024 / 11:49:28";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.449,00";"-";"-";"-"
"13582248120";"09/07/2024 / 11:05:34";"WDOQ24";"V";"2";"5.465,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582247249";"09/07/2024 / 11:04:11";"WDOQ24";"V";"1";"5.460,00";"executada";"entrada";"1";"5.460,00";"-";"-";"-"
"13582247247";"09/07/2024 / 11:04:11";"WDOQ24";"C";"2";"5.451,50";"executada";"saída";"2";"5.451,50";"6,00";"0,11";"120,00"
"13582247228";"09/07/2024 / 11:04:10";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.455,00";"-";"-";"-"
"13582247197";"09/07/2024 / 11:04:09";"WDOQ24";"V";"8";"0,00";"executada";"saída";"8";"5.454,44";"-8,94";"-0,16";"-715,00"
"13582219066";"09/07/2024 / 09:51:08";"WDOQ24";"C";"4";"5.459,00";"executada";"entrada";"4";"5.459,00";"-";"-";"-"
"13582217189";"09/07/2024 / 09:47:43";"WDOQ24";"C";"2";"5.464,00";"executada";"entrada";"2";"5.464,00";"-";"-";"-"
"13582216832";"09/07/2024 / 09:47:13";"WDOQ24";"C";"1";"5.469,00";"executada";"entrada";"1";"5.469,00";"-";"-";"-"
"13582216828";"09/07/2024 / 09:47:13";"WDOQ24";"V";"8";"5.469,00";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13582216811";"09/07/2024 / 09:47:13";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.474,00";"-";"-";"-"
"13582207220";"09/07/2024 / 09:09:41";"WDOQ24";"C";"1";"5.472,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582207217";"09/07/2024 / 09:09:41";"WDOQ24";"V";"1";"5.483,50";"executada";"saída";"1";"5.483,50";"6,00";"0,11";"60,00"
"13582207201";"09/07/2024 / 09:09:41";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.477,50";"-";"-";"-"
"13582205008";"09/07/2024 / 09:02:19";"WDOQ24";"V";"1";"5.493,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582205004";"09/07/2024 / 09:02:19";"WDOQ24";"C";"1";"5.482,50";"executada";"saída";"1";"5.482,50";"6,00";"0,11";"60,00"
"13582204989";"09/07/2024 / 09:02:19";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.488,50";"-";"-";"-"
"13582171827";"08/07/2024 / 13:17:45";"WDOQ24";"V";"8";"0,00";"executada";"saída";"8";"5.478,00";"-15,88";"-0,29";"-1.270,00"
"13582148766";"08/07/2024 / 11:58:39";"WDOQ24";"C";"4";"5.489,50";"executada";"entrada";"4";"5.489,50";"-";"-";"-"
"13582144270";"08/07/2024 / 11:40:05";"WDOQ24";"C";"2";"5.494,50";"executada";"entrada";"2";"5.494,50";"-";"-";"-"
"13582140162";"08/07/2024 / 11:30:38";"WDOQ24";"C";"1";"5.499,50";"executada";"entrada";"1";"5.499,50";"-";"-";"-"
